gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,Churn
0,0.0,1,0,0.0277777777777777,1,0,0.0208955223880596,0.0026540656246574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1033015905226811,0
1,0.0,0,0,0.2083333333333333,1,0,0.6671641791044776,0.138588383270155,0.0,1.0,1.0,1.0,0.4852285726576796,1.0,0.8727993486108641,1.0,1.0,1.0,0
0,0.0,1,0,0.861111111111111,1,0,0.053731343283582,0.1613094929003745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0433021969912886,0
1,0.0,0,0,0.5138888888888888,1,0,0.471144278606965,0.2648238219698937,0.0,0.3454298275747759,0.2019740718768186,0.4250636956678292,0.4852285726576796,0.232494606661462,1.0,1.0,0.0,0.0433021969912886,0
0,0.0,0,0,0.1666666666666666,1,1,0.8149253731343283,0.1321782378158194,1.0,1.0,1.0,1.0,0.4852285726576796,1.0,0.8727993486108641,0.8369261816224378,1.0,0.0433021969912886,1
0,0.0,0,0,0.8055555555555555,1,1,0.464179104477612,0.435797575568749,0.0,0.3454298275747759,0.2019740718768186,0.4250636956678292,0.4852285726576796,0.232494606661462,1.0,1.0,0.0,0.0,0
0,0.0,1,1,0.611111111111111,1,0,0.0134328358208955,0.0878611115919201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1033015905226811,0
1,0.0,0,0,0.2361111111111111,0,0,0.0681592039800995,0.0419977036562638,0.1378375893523156,0.3454298275747759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
0,0.0,1,1,0.1388888888888889,1,1,0.8159203980099502,0.1206792100115971,1.0,1.0,0.2019740718768186,1.0,1.0,1.0,0.8727993486108641,0.8369261816224378,1.0,1.0,1
1,0.0,0,0,0.3888888888888888,1,0,0.7238805970149254,0.3008671870943175,0.0,1.0,1.0,1.0,0.4852285726576796,0.232494606661462,1.0,0.8369261816224378,1.0,1.0,0
1,0.0,1,1,0.1666666666666666,1,1,0.3079601990049751,0.0637321932390563,0.0,0.3454298275747759,0.2019740718768186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,0.0,0,0,0.125,1,1,0.6472636815920397,0.0905209469244572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8369261816224378,1.0,1.0,1
1,0.0,1,1,0.1111111111111111,1,1,0.3597014925373134,0.0526485844021717,0.0,0.3454298275747759,1.0,1.0,1.0,1.0,0.8727993486108641,1.0,1.0,1.0,0
0,0.0,1,0,0.2083333333333333,1,0,0.0691542288557213,0.0425862138599922,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1033015905226811,0
1,0.0,0,0,0.2222222222222222,1,1,0.7044776119402985,0.164984796819737,1.0,1.0,1.0,1.0,1.0,0.232494606661462,1.0,0.8369261816224378,1.0,0.0,1
0,0.0,0,1,0.1666666666666666,1,1,0.5805970149253731,0.1008718028606211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,0.0,1,1,0.8888888888888888,1,1,0.682089552238806,0.6125583461709334,1.0,1.0,0.2019740718768186,1.0,1.0,0.232494606661462,1.0,1.0,1.0,0.0433021969912886,0
1,0.0,0,0,0.0138888888888888,1,0,0.0283582089552238,0.000259636854586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1033015905226811,0
0,0.0,1,1,0.9444444444444444,1,1,0.7044776119402985,0.7116300001730913,1.0,0.3454298275747759,0.2019740718768186,0.4250636956678292,0.4852285726576796,0.232494606661462,0.8727993486108641,0.8369261816224378,0.0,0.0433021969912886,0
0,0.0,1,0,0.9166666666666666,1,0,0.7039800995024875,0.6784887981121517,1.0,1.0,0.2019740718768186,0.4250636956678292,1.0,0.232494606661462,1.0,1.0,0.2077807239313817,1.0,0
1,0.0,0,0,0.0972222222222222,1,0,0.5064676616915423,0.0542121752375677,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0433021969912886,0
0,0.0,0,0,0.0416666666666666,1,1,0.5621890547263682,0.0253001690524408,0.0,1.0,1.0,1.0,0.4852285726576796,1.0,1.0,1.0,1.0,0.1033015905226811,0
0,0.0,0,0,0.0138888888888888,1,0,0.0129353233830845,8.07759103156609e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1033015905226811,0
0,0.0,1,1,0.7777777777777777,1,0,0.017910447761194,0.1236159913223593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1033015905226811,0
0,0.0,0,0,0.0138888888888888,1,1,0.6696517412935323,0.0076967903115065,0.0,1.0,1.0,1.0,0.4852285726576796,1.0,0.8727993486108641,1.0,1.0,0.0,1
